,C&R,DOR,EOB Payment,EOB Zero,Electronic Card Payment,Minutes of Hearing,NOR - External,Notice of Appearance,Notice of Claim Denial,Notice of Hearing,Other,Other DocsCF,Other DocsFR,Request for Documents
C&R,3,2,0,3,0,6,1,0,3,5,7,1,0,2
DOR,1,4,0,1,0,5,3,1,0,9,7,1,0,0
EOB Payment,0,0,32,31,0,0,0,0,0,0,1,0,0,0
EOB Zero,0,0,15,668,2,4,4,0,0,5,9,2,1,6
Electronic Card Payment,0,0,0,1,24,0,0,0,0,1,0,0,0,0
Minutes of Hearing,6,8,2,8,0,35,12,0,1,35,21,0,2,5
NOR - External,1,3,0,4,0,14,14,0,0,12,11,0,0,0
Notice of Appearance,0,0,0,0,0,1,0,45,0,0,0,0,0,0
Notice of Claim Denial,0,0,0,1,0,1,1,0,3,0,5,1,2,3
Notice of Hearing,0,9,0,5,0,36,4,0,0,291,12,0,0,4
Other,10,3,0,19,0,23,7,0,7,21,114,2,4,6
Other DocsCF,0,0,1,1,0,1,1,0,0,1,12,3,1,1
Other DocsFR,0,1,0,2,0,1,0,0,2,1,7,0,1,2
Request for Documents,3,0,0,8,0,10,0,0,0,7,2,1,0,11
